isbn,title,author,publisher,publish_date,source_url,cover_url,fallback_cover_url,description,category,condition,price,original_price,stock,status,seller_id
9780133591620,Modern Operating Systems,Andrew S. Tanenbaum / Herbert Bos,Pearson,2014-03-14,https://openlibrary.org/isbn/9780133591620,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9780133591620-L.jpg?default=false,从系统设计角度深入讲解现代操作系统结构与关键机制。,计算机,八成新,63.00,79.99,2,1,
9780132126953,Computer Networks,Andrew S. Tanenbaum / David J. Wetherall,Pearson,2010-10-07,https://openlibrary.org/isbn/9780132126953,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9780132126953-L.jpg?default=false,网络课程经典教材，覆盖分层架构、传输、路由、无线网络与安全。,计算机,八成新,57.00,76.99,2,1,
9780124077267,Computer Organization and Design: The Hardware Software Interface,David A. Patterson / John L. Hennessy,Morgan Kaufmann,2013-09-11,https://openlibrary.org/isbn/9780124077267,upload/csapp.jpg,https://covers.openlibrary.org/b/isbn/9780124077267-L.jpg?default=false,讲解计算机组成原理、指令集、流水线、缓存和性能评估。,计算机,九成新,73.00,94.99,1,1,
9781260084508,Database System Concepts,Abraham Silberschatz / Henry F. Korth / S. Sudarshan,McGraw-Hill Education,2019-02-04,https://openlibrary.org/isbn/9781260084508,upload/mysql.jpg,https://covers.openlibrary.org/b/isbn/9781260084508-L.jpg?default=false,数据库系统概念教材，涵盖关系模型、SQL、事务、恢复与分布式数据库。,计算机,九成新,61.00,88.99,2,1,
9780072465631,Database Management Systems,Raghu Ramakrishnan / Johannes Gehrke,McGraw-Hill,2002-08-21,https://openlibrary.org/isbn/9780072465631,upload/mysql.jpg,https://covers.openlibrary.org/b/isbn/9780072465631-L.jpg?default=false,数据库管理系统经典教材，强调实现原理与查询处理。,计算机,八成新,49.00,72.99,2,1,
9780123838722,Computer Architecture: A Quantitative Approach,John L. Hennessy / David A. Patterson,Morgan Kaufmann,2011-09-15,https://openlibrary.org/isbn/9780123838722,upload/csapp.jpg,https://covers.openlibrary.org/b/isbn/9780123838722-L.jpg?default=false,计算机体系结构经典书，适合高年级系统与架构课程。,计算机,八成新,86.00,110.99,1,1,
9781449369415,Introduction to Machine Learning with Python,Andreas C. Muller / Sarah Guido,O'Reilly Media,2016-09-26,https://openlibrary.org/isbn/9781449369415,upload/gene.jpg,https://covers.openlibrary.org/b/isbn/9781449369415-L.jpg?default=false,机器学习入门实用书，基于 scikit-learn 讲解监督与非监督学习流程。,计算机,九成新,54.00,69.99,2,1,
9781492032649,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurelien Geron,O'Reilly Media,2019-10-15,https://openlibrary.org/isbn/9781492032649,upload/gene.jpg,https://covers.openlibrary.org/b/isbn/9781492032649-L.jpg?default=false,面向实践的机器学习书籍，覆盖传统机器学习与深度学习工程落地。,计算机,九成新,66.00,82.99,2,1,
9781617294433,Deep Learning with Python,Francois Chollet,Manning Publications,2017-10-28,https://openlibrary.org/isbn/9781617294433,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781617294433-L.jpg?default=false,以 Keras 为主线讲解神经网络、卷积网络、序列模型与生成式方法。,计算机,九成新,58.00,74.99,2,1,
9781491957660,Python for Data Analysis,Wes McKinney,O'Reilly Media,2017-09-25,https://openlibrary.org/isbn/9781491957660,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781491957660-L.jpg?default=false,Pandas 作者撰写的数据分析经典书，适合数据处理和统计课程辅助使用。,计算机,九成新,55.00,68.99,2,1,
9781491946008,Fluent Python,Luciano Ramalho,O'Reilly Media,2015-08-20,https://openlibrary.org/isbn/9781491946008,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781491946008-L.jpg?default=false,深入讲解 Python 数据模型、函数式特性、并发和元编程。,计算机,八成新,63.00,79.99,2,1,
9781593275990,Automate the Boring Stuff with Python,Al Sweigart,No Starch Press,2015-04-14,https://openlibrary.org/isbn/9781593275990,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781593275990-L.jpg?default=false,面向自动化实战的 Python 入门书，覆盖文件处理、抓取和办公自动化。,计算机,九成新,34.00,44.99,3,1,
9781449355739,Learning Python,Mark Lutz,O'Reilly Media,2013-06-12,https://openlibrary.org/isbn/9781449355739,upload/python.jpg,https://covers.openlibrary.org/b/isbn/9781449355739-L.jpg?default=false,体系化讲解 Python 语言核心概念与标准用法，适合作为综合参考书。,计算机,八成新,59.00,74.99,2,1,
9780596517748,JavaScript: The Good Parts,Douglas Crockford,O'Reilly Media,2008-05-01,https://openlibrary.org/isbn/9780596517748,upload/js.jpg,https://covers.openlibrary.org/b/isbn/9780596517748-L.jpg?default=false,JavaScript 经典小书，强调语言中值得保留和掌握的核心部分。,计算机,八成新,28.00,34.99,2,1,
9781593279509,Eloquent JavaScript,Marijn Haverbeke,No Starch Press,2018-12-04,https://openlibrary.org/isbn/9781593279509,upload/js.jpg,https://covers.openlibrary.org/b/isbn/9781593279509-L.jpg?default=false,前端开发与 JavaScript 入门常用书，兼顾语法、浏览器和 Node.js。,计算机,九成新,39.00,49.99,3,1,
9781491952023,JavaScript: The Definitive Guide,David Flanagan,O'Reilly Media,2020-05-14,https://openlibrary.org/isbn/9781491952023,upload/js.jpg,https://covers.openlibrary.org/b/isbn/9781491952023-L.jpg?default=false,JavaScript 权威参考书，覆盖语言本身与浏览器 API。,计算机,九成新,68.00,84.99,2,1,
9781118008182,HTML and CSS: Design and Build Websites,Jon Duckett,Wiley,2011-11-08,https://openlibrary.org/isbn/9781118008182,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9781118008182-L.jpg?default=false,网页设计入门畅销书，视觉化讲解 HTML 和 CSS 基础知识。,计算机,九成新,32.00,44.99,3,1,
9781449393199,CSS: The Definitive Guide,Eric A. Meyer / Estelle Weyl,O'Reilly Media,2017-09-21,https://openlibrary.org/isbn/9781449393199,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9781449393199-L.jpg?default=false,CSS 参考书，讲解选择器、布局、动画、响应式与规范细节。,计算机,八成新,51.00,64.99,2,1,
9781492056812,Kubernetes: Up and Running,Kelsey Hightower / Brendan Burns / Joe Beda,O'Reilly Media,2022-08-01,https://openlibrary.org/isbn/9781492056812,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9781492056812-L.jpg?default=false,Kubernetes 经典入门书，适合云原生与运维课程扩展阅读。,计算机,九成新,57.00,70.99,2,1,
9781491929124,Site Reliability Engineering,Betsy Beyer / Chris Jones / Jennifer Petoff / Niall Richard Murphy,O'Reilly Media,2016-03-23,https://openlibrary.org/isbn/9781491929124,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9781491929124-L.jpg?default=false,Google SRE 方法论代表作，覆盖可用性、容量规划、告警与运维协作。,计算机,八成新,63.00,79.99,1,1,
9781942788003,The DevOps Handbook,Gene Kim / Jez Humble / Patrick Debois / John Willis,IT Revolution Press,2016-10-06,https://openlibrary.org/isbn/9781942788003,upload/linux.jpg,https://covers.openlibrary.org/b/isbn/9781942788003-L.jpg?default=false,讲解 DevOps 实践、价值流优化、自动化和组织协作模式。,计算机,八成新,61.00,77.99,2,1,
9780321601919,Continuous Delivery,Jez Humble / David Farley,Addison-Wesley Professional,2010-07-27,https://openlibrary.org/isbn/9780321601919,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780321601919-L.jpg?default=false,持续交付经典著作，覆盖构建流水线、测试自动化和发布管理。,计算机,八成新,58.00,72.99,2,1,
9781449373320,Designing Data-Intensive Applications,Martin Kleppmann,O'Reilly Media,2017-03-16,https://openlibrary.org/isbn/9781449373320,upload/mysql.jpg,https://covers.openlibrary.org/b/isbn/9781449373320-L.jpg?default=false,现代分布式系统与数据系统经典书，涵盖存储、复制、一致性与流处理。,计算机,九成新,72.00,89.99,1,1,
9780984782857,Cracking the Coding Interview,Gayle Laakmann McDowell,CareerCup,2015-07-01,https://openlibrary.org/isbn/9780984782857,upload/thinking.jpg,https://covers.openlibrary.org/b/isbn/9780984782857-L.jpg?default=false,算法面试与数据结构练习常用书，适合求职准备与课程刷题。,计算机,九成新,44.00,54.99,3,1,
9780131429017,The Practice of Programming,Brian W. Kernighan / Rob Pike,Addison-Wesley Professional,1999-02-28,https://openlibrary.org/isbn/9780131429017,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780131429017-L.jpg?default=false,从工程实践角度讲解设计、调试、测试、性能与可移植性。,计算机,九成新,47.00,59.99,2,1,
9780201485677,The Pragmatic Programmer,Andrew Hunt / David Thomas,Addison-Wesley Professional,1999-10-30,https://openlibrary.org/isbn/9780201485677,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780201485677-L.jpg?default=false,程序员职业发展经典书，强调习惯、抽象、工具与长期主义工程观。,计算机,八成新,43.00,57.99,2,1,
9780062316097,Sapiens,Yuval Noah Harari,Harper,2015-02-10,https://openlibrary.org/isbn/9780062316097,upload/sapiens.jpg,https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg?default=false,通识畅销书，从认知革命到现代社会演化梳理人类历史。,历史,九成新,39.00,59.99,2,1,
9780393354324,Guns Germs and Steel,Jared Diamond,W. W. Norton & Company,2017-04-04,https://openlibrary.org/isbn/9780393354324,upload/guns.jpg,https://covers.openlibrary.org/b/isbn/9780393354324-L.jpg?default=false,从地理与环境角度解释文明发展差异，是历史通识常用阅读书目。,历史,八成新,36.00,49.99,2,1,
9780374533557,Thinking Fast and Slow,Daniel Kahneman,Farrar Straus and Giroux,2013-04-02,https://openlibrary.org/isbn/9780374533557,upload/thinking.jpg,https://covers.openlibrary.org/b/isbn/9780374533557-L.jpg?default=false,行为经济学代表作，系统介绍直觉系统与理性系统的决策机制。,经济,九成新,35.00,48.99,2,1,
9780465050659,The Design of Everyday Things,Don Norman,Basic Books,2013-11-05,https://openlibrary.org/isbn/9780465050659,upload/design.jpg,https://covers.openlibrary.org/b/isbn/9780465050659-L.jpg?default=false,设计领域经典书，讨论可用性、反馈、映射与以人为本设计原则。,艺术,九成新,38.00,51.99,2,1,
